Date : 2023-10-12 15:53:02
Directory : c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc
Total : 205 files,  20119 codes, 239 comments, 4838 blanks, all 25196 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\sharing_query\add_password_sharing.dart                         | Dart       |         40 |          0 |         17 |         57 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\sharing_query\process_file_sharing.dart                         | Dart       |        156 |          0 |         50 |        206 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\sharing_query\share_file_data.dart                              | Dart       |         72 |          0 |         17 |         89 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\sharing_query\sharing_data_receiver.dart                        | Dart       |         89 |          0 |         32 |        121 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\sharing_query\sharing_options.dart                              | Dart       |         48 |          0 |         33 |         81 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\sharing_query\sharing_username.dart                             | Dart       |         33 |          0 |         15 |         48 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\sharing_query\verify_sharing.dart                               | Dart       |         22 |          0 |         11 |         33 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\themes\theme_color.dart                                         | Dart       |         16 |          0 |          5 |         21 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\themes\theme_style.dart                                         | Dart       |        136 |          0 |         18 |        154 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\ui_dialog\alert_dialog.dart                                     | Dart       |        107 |          0 |          5 |        112 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\ui_dialog\form_dialog.dart                                      | Dart       |         59 |          0 |          7 |         66 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\ui_dialog\loading\just_loading.dart                             | Dart       |         32 |          0 |          9 |         41 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\ui_dialog\loading\multiple_text_loading.dart                    | Dart       |         91 |          0 |         13 |        104 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\ui_dialog\loading\single_text_loading.dart                      | Dart       |         51 |          0 |         16 |         67 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\ui_dialog\snack_dialog.dart                                     | Dart       |         96 |          2 |          9 |        107 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\upgrades\customers_dashboard.dart                               | Dart       |        155 |          0 |         58 |        213 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\upgrades\express_page.dart                                      | Dart       |         35 |          0 |          6 |         41 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\upgrades\max_page.dart                                          | Dart       |         35 |          0 |          7 |         42 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\upgrades\supreme_page.dart                                      | Dart       |         35 |          0 |          6 |         41 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\upgrades\upgrade_page.dart                                      | Dart       |        590 |          0 |        108 |        698 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\user_settings\account_plan_config.dart                          | Dart       |         30 |          0 |          7 |         37 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\user_settings\add_passcode_page.dart                            | Dart       |        263 |          0 |         47 |        310 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\user_settings\backup_recovery_page.dart                         | Dart       |        141 |          0 |         37 |        178 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\user_settings\password_recovery_page.dart                       | Dart       |        156 |          0 |         35 |        191 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\user_settings\password_reset_page.dart                          | Dart       |        150 |          0 |         39 |        189 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\user_settings\update_password_page.dart                         | Dart       |        164 |          0 |         44 |        208 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\widgets\bottom_trailing.dart                                    | Dart       |         22 |          0 |          3 |         25 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\widgets\bottom_trailing_widgets\add_item.dart                   | Dart       |        161 |          0 |         19 |        180 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\widgets\bottom_trailing_widgets\file_options.dart               | Dart       |        175 |          0 |         22 |        197 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\widgets\bottom_trailing_widgets\filter_type.dart                | Dart       |        183 |          0 |         53 |        236 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\widgets\bottom_trailing_widgets\folder_options.dart             | Dart       |         86 |          0 |         13 |         99 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\widgets\bottom_trailing_widgets\selected_items_options.dart     | Dart       |        102 |          0 |         16 |        118 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\widgets\bottom_trailing_widgets\shared_options.dart             | Dart       |         63 |          0 |         11 |         74 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\widgets\bottom_trailing_widgets\sorting_options.dart            | Dart       |         81 |          0 |         13 |         94 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\widgets\checkbox_item.dart                                      | Dart       |         42 |          0 |          5 |         47 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\widgets\empty_body.dart                                         | Dart       |         46 |          0 |          6 |         52 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\widgets\failed_load.dart                                        | Dart       |         35 |          0 |          4 |         39 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\widgets\header_text.dart                                        | Dart       |         43 |          0 |         10 |         53 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\widgets\interact_dialog.dart                                    | Dart       |         27 |          0 |          3 |         30 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\widgets\loading_indicator.dart                                  | Dart       |         11 |          0 |          2 |         13 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\widgets\main_button.dart                                        | Dart       |         31 |          0 |          7 |         38 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\widgets\main_dialog_button.dart                                 | Dart       |         48 |          0 |          6 |         54 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\widgets\main_text_field.dart                                    | Dart       |         21 |          0 |          5 |         26 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\widgets\navigation_bar.dart                                     | Dart       |        140 |          0 |         17 |        157 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\widgets\navigation_buttons.dart                                 | Dart       |        171 |         19 |         24 |        214 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\widgets\responsive_list_view.dart                               | Dart       |         85 |          0 |         10 |         95 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\widgets\responsive_search_bar.dart                              | Dart       |        102 |          0 |          7 |        109 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\widgets\sheet_bar.dart                                          | Dart       |         19 |          0 |          4 |         23 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\widgets\sidebar_menu.dart                                       | Dart       |        227 |          0 |         21 |        248 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\widgets\staggered_list_view.dart\default_list_view.dart         | Dart       |         72 |          0 |         13 |         85 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\widgets\staggered_list_view.dart\photos_list_view.dart          | Dart       |         65 |          0 |         11 |         76 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\widgets\staggered_list_view.dart\ps_list_view.dart              | Dart       |        203 |          0 |         10 |        213 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\widgets\staggered_list_view.dart\recent_ps_list_view.dart       | Dart       |        122 |          0 |         11 |        133 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\widgets\staggered_list_view.dart\sub_ps_list_view.dart          | Dart       |        136 |          0 |         13 |        149 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\linux\flutter\generated_plugin_registrant.cc                        | C++        |         15 |          4 |          5 |         24 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\linux\flutter\generated_plugin_registrant.h                         | C++        |          5 |          5 |          6 |         16 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\linux\main.cc                                                       | C++        |          5 |          0 |          2 |          7 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\linux\my_application.cc                                             | C++        |         74 |         11 |         20 |        105 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\linux\my_application.h                                              | C++        |          7 |          7 |          5 |         19 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\macos\Flutter\GeneratedPluginRegistrant.swift                       | Swift      |         28 |          3 |          4 |         35 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\macos\RunnerTests\RunnerTests.swift                                 | Swift      |          7 |          2 |          4 |         13 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\macos\Runner\AppDelegate.swift                                      | Swift      |          8 |          0 |          2 |         10 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json       | JSON       |         68 |          0 |          1 |         69 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\macos\Runner\Base.lproj\MainMenu.xib                                | XML        |        343 |          0 |          1 |        344 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\macos\Runner\MainFlutterWindow.swift                                | Swift      |         12 |          0 |          4 |         16 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\pubspec.yaml                                                        | YAML       |         56 |          2 |          9 |         67 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\web\index.html                                                      | HTML       |         38 |         16 |          6 |         60 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\web\manifest.json                                                   | JSON       |         35 |          0 |          1 |         36 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\windows\flutter\generated_plugin_registrant.cc                      | C++        |         21 |          4 |          5 |         30 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\windows\flutter\generated_plugin_registrant.h                       | C++        |          5 |          5 |          6 |         16 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\windows\runner\flutter_window.cpp                                   | C++        |         49 |          7 |         16 |         72 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\windows\runner\flutter_window.h                                     | C++        |         20 |          5 |          9 |         34 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\windows\runner\main.cpp                                             | C++        |         30 |          4 |         10 |         44 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\windows\runner\resource.h                                           | C++        |          9 |          6 |          2 |         17 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\windows\runner\utils.cpp                                            | C++        |         54 |          2 |         10 |         66 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\windows\runner\utils.h                                              | C++        |          8 |          6 |          6 |         20 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\windows\runner\win32_window.cpp                                     | C++        |        210 |         24 |         55 |        289 |
| c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\windows\runner\win32_window.h                                       | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                                                                |            |     20,119 |        239 |      4,838 |     25,196 |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
